Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2024-03-15 Kl. 00-01;0.70676;0.70676;0.24275;0.19420;0.70676
2024-03-15 Kl. 01-02;0.68741;0.68741;0.27715;0.22172;0.68741
2024-03-15 Kl. 02-03;0.67266;0.67266;0.31541;0.25233;0.67266
2024-03-15 Kl. 03-04;0.64859;0.64859;0.32515;0.26012;0.64859
2024-03-15 Kl. 04-05;0.65216;0.65216;0.37058;0.29646;0.65216
2024-03-15 Kl. 05-06;0.68528;0.68528;0.65919;0.30013;0.68528
2024-03-15 Kl. 06-07;0.74130;0.74130;0.72726;0.31240;0.74130
2024-03-15 Kl. 07-08;0.77841;0.77841;0.76881;0.40549;0.77841
2024-03-15 Kl. 08-09;0.78400;0.78400;0.78400;0.45295;0.78400
2024-03-15 Kl. 09-10;0.76280;0.76280;0.76280;0.48253;0.76280
2024-03-15 Kl. 10-11;0.72855;0.72855;0.73514;0.51554;0.72855
2024-03-15 Kl. 11-12;0.69559;0.69559;0.72554;0.44917;0.69559
2024-03-15 Kl. 12-13;0.67925;0.67925;0.70734;0.43954;0.67925
2024-03-15 Kl. 13-14;0.68126;0.68126;0.69258;0.43506;0.68126
2024-03-15 Kl. 14-15;0.70691;0.70691;0.70691;0.50270;0.70691
2024-03-15 Kl. 15-16;0.73844;0.73844;0.72095;0.57676;0.73844
2024-03-15 Kl. 16-17;0.76394;0.76394;0.74303;0.59442;0.76394
2024-03-15 Kl. 17-18;0.79690;0.79690;0.79690;0.63752;0.79690
2024-03-15 Kl. 18-19;0.81381;0.81381;0.81381;0.65105;0.81381
2024-03-15 Kl. 19-20;0.79590;0.79590;0.74804;0.59843;0.79590
2024-03-15 Kl. 20-21;0.77770;0.77770;0.70104;0.56083;0.77770
2024-03-15 Kl. 21-22;0.76309;0.76309;0.62966;0.50373;0.76309
2024-03-15 Kl. 22-23;0.74030;0.74030;0.57321;0.45857;0.74030
2024-03-15 Kl. 23-00;0.72726;0.72726;0.54770;0.43816;0.72726
2024-03-16 Kl. 00-01;0.69251;0.69251;0.54850;0.43880;0.69251
2024-03-16 Kl. 01-02;0.65575;0.65575;0.54909;0.43927;0.65648
2024-03-16 Kl. 02-03;0.60530;0.60530;0.52875;0.42300;0.65533
2024-03-16 Kl. 03-04;0.57849;0.57849;0.51348;0.41078;0.65561
2024-03-16 Kl. 04-05;0.57531;0.57531;0.50310;0.40248;0.65446
2024-03-16 Kl. 05-06;0.62188;0.62188;0.49388;0.39510;0.65230
2024-03-16 Kl. 06-07;0.68128;0.68128;0.49416;0.39533;0.68128
2024-03-16 Kl. 07-08;0.71674;0.71674;0.51275;0.41020;0.71674
2024-03-16 Kl. 08-09;0.71515;0.71515;0.66325;0.42762;0.71515
2024-03-16 Kl. 09-10;0.69410;0.69410;0.69410;0.44849;0.69410
2024-03-16 Kl. 10-11;0.67305;0.67305;0.67305;0.45195;0.67305
2024-03-16 Kl. 11-12;0.63355;0.63355;0.66311;0.44849;0.66311
2024-03-16 Kl. 12-13;0.57690;0.57690;0.66296;0.41309;0.66296
2024-03-16 Kl. 13-14;0.62216;0.62216;0.66296;0.31921;0.66296
2024-03-16 Kl. 14-15;0.64423;0.64423;0.66283;0.31679;0.66283
2024-03-16 Kl. 15-16;0.68040;0.68040;0.68040;0.33444;0.68040
2024-03-16 Kl. 16-17;0.71659;0.71659;0.71659;0.39464;0.71659
2024-03-16 Kl. 17-18;0.74326;0.74326;0.74326;0.44076;0.74326
2024-03-16 Kl. 18-19;0.77209;0.77209;0.77209;0.43730;0.77209
2024-03-16 Kl. 19-20;0.77511;0.77511;0.77511;0.38241;0.77511
2024-03-16 Kl. 20-21;0.77511;0.77511;0.77511;0.34239;0.77511
2024-03-16 Kl. 21-22;0.77469;0.77469;0.77469;0.33305;0.77469
2024-03-16 Kl. 22-23;0.77626;0.77626;0.77626;0.33236;0.77626
2024-03-16 Kl. 23-00;0.79256;0.79256;0.79256;0.33374;0.79256
2024-03-17 Kl. 00-01;0.78874;0.78874;0.78874;0.33198;0.78874
2024-03-17 Kl. 01-02;0.79234;0.79234;0.79234;0.33083;0.79234
2024-03-17 Kl. 02-03;0.78153;0.78153;0.74780;0.33567;0.78153
2024-03-17 Kl. 03-04;0.78916;0.78916;0.72070;0.34939;0.78916
2024-03-17 Kl. 04-05;0.78974;0.78974;0.50521;0.40417;0.78974
2024-03-17 Kl. 05-06;0.79364;0.79364;0.55450;0.44360;0.79364
2024-03-17 Kl. 06-07;0.79176;0.79176;0.59515;0.47612;0.79176
2024-03-17 Kl. 07-08;0.78196;0.78196;0.70916;0.56733;0.78196
2024-03-17 Kl. 08-09;0.74088;0.74088;0.71320;0.57056;0.74088
2024-03-17 Kl. 09-10;0.71638;0.71638;0.67961;0.54369;0.71638
2024-03-17 Kl. 10-11;0.69404;0.69404;0.65440;0.52352;0.69404
2024-03-17 Kl. 11-12;0.68149;0.68149;0.66175;0.52940;0.68149
2024-03-17 Kl. 12-13;0.66275;0.66275;0.60265;0.48212;0.66275
2024-03-17 Kl. 13-14;0.70499;0.70499;0.57873;0.46298;0.70499
2024-03-17 Kl. 14-15;0.74448;0.74448;0.67616;0.54093;0.74448
2024-03-17 Kl. 15-16;0.78296;0.78296;0.78296;0.59662;0.78296
2024-03-17 Kl. 16-17;0.82823;0.82823;0.82823;0.59662;0.82823
2024-03-17 Kl. 17-18;1.05481;1.05481;0.71594;0.57275;1.05481
2024-03-17 Kl. 18-19;1.31715;1.31715;0.66981;0.53585;1.31715
2024-03-17 Kl. 19-20;1.23326;1.23326;0.57641;0.46113;1.23326
2024-03-17 Kl. 20-21;0.87954;0.87954;0.57238;0.45790;0.87954
2024-03-17 Kl. 21-22;0.83211;0.83211;0.56589;0.45271;0.83211
2024-03-17 Kl. 22-23;0.79854;0.79854;0.56244;0.44995;0.79854
2024-03-17 Kl. 23-00;0.78296;0.78296;0.55033;0.44026;0.78296
2024-03-18 Kl. 00-01;0.78629;0.78629;0.58953;0.47162;0.78629
2024-03-18 Kl. 01-02;0.78325;0.78325;0.59314;0.47451;0.78325
2024-03-18 Kl. 02-03;0.78124;0.78124;0.57511;0.46009;0.78124
2024-03-18 Kl. 03-04;0.77936;0.77936;0.64690;0.45029;0.77936
2024-03-18 Kl. 04-05;0.78181;0.78181;0.67961;0.45548;0.78181
2024-03-18 Kl. 05-06;0.80141;0.80141;0.67961;0.47578;0.80141
2024-03-18 Kl. 06-07;0.83111;0.83111;0.71739;0.46136;0.83111
2024-03-18 Kl. 07-08;0.96516;0.96516;0.74823;0.47243;0.96516
2024-03-18 Kl. 08-09;1.31786;1.31786;0.81381;0.51383;1.31786
2024-03-18 Kl. 09-10;1.13106;1.13106;0.77706;0.52467;1.13106
2024-03-18 Kl. 10-11;1.00796;1.00796;0.74074;0.55903;1.00796
2024-03-18 Kl. 11-12;0.91024;0.91024;0.72906;0.58325;0.91024
2024-03-18 Kl. 12-13;0.88099;0.88099;0.73396;0.58717;0.88099
2024-03-18 Kl. 13-14;0.84999;0.84999;0.75515;0.60412;0.84999
2024-03-18 Kl. 14-15;0.83241;0.83241;0.75068;0.60054;0.83241
2024-03-18 Kl. 15-16;0.82995;0.82995;0.72143;0.57714;0.82995
2024-03-18 Kl. 16-17;0.83226;0.83226;0.71681;0.55892;0.83226
2024-03-18 Kl. 17-18;0.89108;0.89108;0.72416;0.55073;0.89108
2024-03-18 Kl. 18-19;0.87781;0.87781;0.74045;0.54600;0.87781
2024-03-18 Kl. 19-20;0.86830;0.86830;0.75241;0.55015;0.86830
2024-03-18 Kl. 20-21;0.86354;0.86354;0.79190;0.55373;0.86354
2024-03-18 Kl. 21-22;0.82966;0.82966;0.79104;0.54958;0.82966
2024-03-18 Kl. 22-23;0.81915;0.81915;0.76970;0.53712;0.81915
2024-03-18 Kl. 23-00;0.79766;0.79766;0.73613;0.51095;0.79766
2024-03-19 Kl. 00-01;0.79510;0.79510;0.72335;0.48974;0.79510
2024-03-19 Kl. 01-02;0.78053;0.78053;0.67874;0.49759;0.78053
2024-03-19 Kl. 02-03;0.77273;0.77273;0.64495;0.51596;0.77273
2024-03-19 Kl. 03-04;0.74399;0.74399;0.66401;0.53121;0.74399
2024-03-19 Kl. 04-05;0.74861;0.74861;0.69649;0.55719;0.74861
2024-03-19 Kl. 05-06;0.79338;0.79338;0.68870;0.55096;0.79338
2024-03-19 Kl. 06-07;0.85315;0.85315;0.67729;0.54183;0.85315
2024-03-19 Kl. 07-08;1.27633;1.27633;0.70834;0.56667;0.89386
2024-03-19 Kl. 08-09;1.34404;1.34404;0.73028;0.58422;1.09109
2024-03-19 Kl. 09-10;1.00720;1.00720;0.81113;0.64890;1.00720
2024-03-19 Kl. 10-11;0.88245;0.88245;0.88245;0.70596;0.88245
2024-03-19 Kl. 11-12;0.82428;0.82428;0.82889;0.66311;0.82428
2024-03-19 Kl. 12-13;0.78644;0.78644;0.78644;0.62915;0.78644
2024-03-19 Kl. 13-14;0.79351;0.79351;0.79351;0.63481;0.79351
2024-03-19 Kl. 14-15;0.81200;0.81200;0.79265;0.63412;0.81200
2024-03-19 Kl. 15-16;0.84130;0.84130;0.77965;0.62372;0.84130
2024-03-19 Kl. 16-17;0.90050;0.90050;0.74226;0.59381;0.89516
2024-03-19 Kl. 17-18;0.99190;0.99190;0.70993;0.56794;0.90874
2024-03-19 Kl. 18-19;0.95638;0.95638;0.68870;0.55096;0.86556
2024-03-19 Kl. 19-20;0.85415;0.85415;0.68264;0.54611;0.85415
2024-03-19 Kl. 20-21;0.83048;0.83048;0.65245;0.52196;0.83048
2024-03-19 Kl. 21-22;0.82990;0.82990;0.71295;0.57036;0.82990
2024-03-19 Kl. 22-23;0.83105;0.83105;0.68696;0.53051;0.83105
2024-03-19 Kl. 23-00;0.81979;0.81979;0.61463;0.49170;0.81979
2024-03-20 Kl. 00-01;0.83736;0.83736;0.66725;0.53380;0.83736
2024-03-20 Kl. 01-02;0.83316;0.83316;0.66566;0.53253;0.83316
2024-03-20 Kl. 02-03;0.83041;0.83041;0.67551;0.54041;0.83041
2024-03-20 Kl. 03-04;0.83013;0.83013;0.69189;0.55351;0.83013
2024-03-20 Kl. 04-05;0.83171;0.83171;0.72666;0.58133;0.83171
2024-03-20 Kl. 05-06;0.83954;0.83954;0.72710;0.58168;0.83954
2024-03-20 Kl. 06-07;0.86548;0.86548;0.81809;0.65447;0.86548
2024-03-20 Kl. 07-08;1.62213;1.62213;0.92329;0.73863;0.96314
2024-03-20 Kl. 08-09;1.39059;1.39059;0.99110;0.79288;1.39059
2024-03-20 Kl. 09-10;0.99864;0.99864;0.99864;0.79891;0.99864
2024-03-20 Kl. 10-11;0.92865;0.92865;0.94488;0.67534;0.92865
2024-03-20 Kl. 11-12;0.91808;0.91808;0.92474;0.63906;0.91808
2024-03-20 Kl. 12-13;0.86881;0.86881;0.86881;0.52615;0.86881
2024-03-20 Kl. 13-14;0.89794;0.89794;0.89794;0.56638;0.89794
2024-03-20 Kl. 14-15;0.91010;0.91010;0.91010;0.55942;0.91010
2024-03-20 Kl. 15-16;0.98719;0.98719;0.98719;0.55942;0.98719
2024-03-20 Kl. 16-17;1.06529;1.06529;1.06529;0.55942;1.06529
2024-03-20 Kl. 17-18;1.62706;1.62706;1.07239;0.59895;1.62706
2024-03-20 Kl. 18-19;2.29634;2.29634;0.98965;0.64926;0.98965
2024-03-20 Kl. 19-20;1.42145;1.42145;0.98806;0.79045;0.98806
2024-03-20 Kl. 20-21;0.94213;0.94213;0.94213;0.75370;0.94213
2024-03-20 Kl. 21-22;0.88663;0.88663;0.88663;0.70930;0.88663
2024-03-20 Kl. 22-23;0.85939;0.85939;0.85939;0.68751;0.85939
2024-03-20 Kl. 23-00;0.84171;0.84171;0.84171;0.67337;0.84171
2024-03-21 Kl. 00-01;0.86051;0.86051;0.86051;0.68841;0.86051
2024-03-21 Kl. 01-02;0.85211;0.85211;0.85211;0.68169;0.85211
2024-03-21 Kl. 02-03;0.84748;0.84748;0.84039;0.67231;0.84748
2024-03-21 Kl. 03-04;0.84806;0.84806;0.82329;0.65863;0.84806
2024-03-21 Kl. 04-05;0.85501;0.85501;0.83039;0.66431;0.85501
2024-03-21 Kl. 05-06;0.88369;0.88369;0.87703;0.70162;0.88369
2024-03-21 Kl. 06-07;0.96278;0.96278;0.83734;0.66987;0.94873
2024-03-21 Kl. 07-08;1.36544;1.36544;0.95669;0.76535;1.02694
2024-03-21 Kl. 08-09;1.44858;1.44858;1.05880;0.84704;1.44858
2024-03-21 Kl. 09-10;1.12515;1.12515;1.12515;0.90012;1.12515
2024-03-21 Kl. 10-11;1.01883;1.01883;1.04881;0.83905;1.01883
2024-03-21 Kl. 11-12;0.95640;0.95640;0.96176;0.76941;0.95640
2024-03-21 Kl. 12-13;0.90904;0.90904;0.91339;0.73071;0.90904
2024-03-21 Kl. 13-14;0.86385;0.86385;0.86385;0.66999;0.86385
2024-03-21 Kl. 14-15;0.89701;0.89701;0.94496;0.66941;0.89701
2024-03-21 Kl. 15-16;0.89991;0.89991;0.93699;0.59988;0.89991
2024-03-21 Kl. 16-17;0.89455;0.89455;0.89455;0.58192;0.89455
2024-03-21 Kl. 17-18;1.28940;1.28940;0.83734;0.66987;1.28940
2024-03-21 Kl. 18-19;1.69655;1.69655;0.81403;0.65122;1.69655
2024-03-21 Kl. 19-20;1.69221;1.69221;0.73118;0.58494;1.69221
2024-03-21 Kl. 20-21;1.18641;1.18641;0.70336;0.56269;1.18641
2024-03-21 Kl. 21-22;0.89064;0.89064;0.66831;0.53465;0.89064
2024-03-21 Kl. 22-23;0.86211;0.86211;0.63644;0.50915;0.86211
2024-03-21 Kl. 23-00;0.82445;0.82445;0.59415;0.47532;0.82445
2024-03-22 Kl. 00-01;0.78248;0.78248;0.54328;0.43462;0.78248
2024-03-22 Kl. 01-02;0.72985;0.72985;0.49396;0.39517;0.72985
2024-03-22 Kl. 02-03;0.69424;0.69424;0.46484;0.37187;0.69424
2024-03-22 Kl. 03-04;0.68140;0.68140;0.41698;0.33358;0.68140
2024-03-22 Kl. 04-05;0.65185;0.65185;0.46023;0.36818;0.68126
2024-03-22 Kl. 05-06;0.69711;0.69711;0.53261;0.42609;0.69711
2024-03-22 Kl. 06-07;0.73965;0.73965;0.61018;0.48814;0.73965
2024-03-22 Kl. 07-08;0.79444;0.79444;0.69279;0.52482;0.79444
2024-03-22 Kl. 08-09;0.84188;0.84188;0.76748;0.52851;0.84188
2024-03-22 Kl. 09-10;0.80223;0.80223;0.79256;0.51940;0.80223
2024-03-22 Kl. 10-11;0.76776;0.76776;0.73936;0.52009;0.76776
2024-03-22 Kl. 11-12;0.74181;0.74181;0.70360;0.53024;0.74181
2024-03-22 Kl. 12-13;0.73879;0.73879;0.70073;0.52724;0.73879
2024-03-22 Kl. 13-14;0.74629;0.74629;0.72465;0.55343;0.74629
2024-03-22 Kl. 14-15;0.73951;0.73951;0.70289;0.53958;0.73951
2024-03-22 Kl. 15-16;0.76128;0.76128;0.71816;0.52551;0.76128
2024-03-22 Kl. 16-17;0.77021;0.77021;0.77021;0.52251;0.77021
2024-03-22 Kl. 17-18;0.83669;0.83669;0.83669;0.51709;0.83669
2024-03-22 Kl. 18-19;0.85803;0.85803;0.85803;0.52124;0.85803
2024-03-22 Kl. 19-20;0.86120;0.86120;0.86120;0.67108;0.86120
2024-03-22 Kl. 20-21;0.85529;0.85529;0.77901;0.62321;0.85529
2024-03-22 Kl. 21-22;0.84706;0.84706;0.73014;0.58411;0.84706
2024-03-22 Kl. 22-23;0.81895;0.81895;0.71341;0.57073;0.81895
2024-03-22 Kl. 23-00;0.78594;0.78594;0.67160;0.53728;0.78594
2024-03-23 Kl. 00-01;0.77420;0.77420;0.53509;0.42807;0.77420
2024-03-23 Kl. 01-02;0.74424;0.74424;0.54250;0.43400;0.74424
2024-03-23 Kl. 02-03;0.74190;0.74190;0.53683;0.42946;0.74190
2024-03-23 Kl. 03-04;0.72736;0.72736;0.55138;0.44110;0.73028
2024-03-23 Kl. 04-05;0.73361;0.73361;0.55313;0.44250;0.73361
2024-03-23 Kl. 05-06;0.73129;0.73129;0.55429;0.44343;0.73129
2024-03-23 Kl. 06-07;0.71704;0.71704;0.61014;0.48811;0.72868
2024-03-23 Kl. 07-08;0.65130;0.65130;0.63239;0.50591;0.73144
2024-03-23 Kl. 08-09;0.54861;0.54861;0.54861;0.43889;0.73361
2024-03-23 Kl. 09-10;0.34805;0.34805;0.36114;0.28891;0.73856
2024-03-23 Kl. 10-11;0.16871;0.16871;0.41000;0.32800;0.73914
2024-03-23 Kl. 11-12;0.15126;0.15126;0.42863;0.33126;0.74161
2024-03-23 Kl. 12-13;0.15054;0.15054;0.42295;0.33440;0.73988
2024-03-23 Kl. 13-14;0.21119;0.21119;0.44535;0.33417;0.73929
2024-03-23 Kl. 14-15;0.34849;0.34849;0.51661;0.33580;0.73914
2024-03-23 Kl. 15-16;0.42586;0.42586;0.58178;0.34069;0.73681
2024-03-23 Kl. 16-17;0.55806;0.55806;0.58134;0.44645;0.73565
2024-03-23 Kl. 17-18;0.70235;0.70235;0.70235;0.56188;0.73696
2024-03-23 Kl. 18-19;0.79834;0.79834;0.79834;0.63867;0.79834
2024-03-23 Kl. 19-20;0.85288;0.85288;0.85288;0.68230;0.85288
2024-03-23 Kl. 20-21;0.76998;0.76998;0.75354;0.60283;0.76998
2024-03-23 Kl. 21-22;0.69828;0.69828;0.68315;0.54652;0.73420
2024-03-23 Kl. 22-23;0.58585;0.58585;0.63894;0.46868;0.73420
2024-03-23 Kl. 23-00;0.45408;0.45408;0.58701;0.36326;0.73624
2024-03-24 Kl. 00-01;0.52664;0.52664;0.76396;0.42131;0.76396
2024-03-24 Kl. 01-02;0.49193;0.49193;0.74741;0.39354;0.74741
2024-03-24 Kl. 02-03;0.48466;0.48466;0.74900;0.38773;0.74900
2024-03-24 Kl. 03-04;0.48714;0.48714;0.74930;0.38971;0.74930
2024-03-24 Kl. 04-05;0.51066;0.51066;0.75365;0.40853;0.75365
2024-03-24 Kl. 05-06;0.52780;0.52780;0.77021;0.42224;0.77021
2024-03-24 Kl. 06-07;0.48176;0.48176;0.77529;0.38541;0.77529
2024-03-24 Kl. 07-08;0.54073;0.54073;0.77675;0.43258;0.77675
2024-03-24 Kl. 08-09;0.60885;0.60885;0.78226;0.48708;0.78226
2024-03-24 Kl. 09-10;0.65489;0.65489;0.82090;0.52391;0.77689
2024-03-24 Kl. 10-11;0.67174;0.67174;0.81538;0.53739;0.77645
2024-03-24 Kl. 11-12;0.70049;0.70049;0.80449;0.56039;0.77601
2024-03-24 Kl. 12-13;0.72083;0.72083;0.76686;0.57666;0.76686
2024-03-24 Kl. 13-14;0.72258;0.72258;0.71516;0.57213;0.76004
2024-03-24 Kl. 14-15;0.73361;0.73361;0.71938;0.57550;0.75903
2024-03-24 Kl. 15-16;0.75510;0.75510;0.74406;0.59525;0.76455
2024-03-24 Kl. 16-17;0.79738;0.79738;0.79738;0.63790;0.79738
2024-03-24 Kl. 17-18;0.86273;0.86273;0.86273;0.69018;0.86273
2024-03-24 Kl. 18-19;0.97893;0.97893;1.08930;0.87144;0.97893
2024-03-24 Kl. 19-20;1.05634;1.05634;1.08785;0.87028;1.05634
2024-03-24 Kl. 20-21;0.94348;0.94348;0.97166;0.77733;0.94348
2024-03-24 Kl. 21-22;0.91356;0.91356;0.94073;0.75258;0.91356
2024-03-24 Kl. 22-23;0.90645;0.90645;0.93346;0.74677;0.90645
2024-03-24 Kl. 23-00;0.88815;0.88815;0.90340;0.72272;0.88815
2024-03-25 Kl. 00-01;0.88161;0.88161;0.90790;0.72632;0.88161
2024-03-25 Kl. 01-02;0.87856;0.87856;0.90470;0.72376;0.87856
2024-03-25 Kl. 02-03;0.88118;0.88118;0.90005;0.72004;0.88118
2024-03-25 Kl. 03-04;0.90790;0.90790;0.92881;0.74305;0.90790
2024-03-25 Kl. 04-05;0.94231;0.94231;0.97253;0.77802;0.94231
2024-03-25 Kl. 05-06;1.07739;1.07739;1.12039;0.89631;1.07739
2024-03-25 Kl. 06-07;1.24123;1.24123;1.28436;1.02749;1.24123
2024-03-25 Kl. 07-08;1.60593;1.60593;1.65385;1.32308;1.60593
2024-03-25 Kl. 08-09;1.40578;1.40578;1.44775;1.15820;1.40578
2024-03-25 Kl. 09-10;1.09206;1.09206;1.12460;0.89968;1.09206
2024-03-25 Kl. 10-11;0.98793;0.98793;1.01741;0.81393;0.98793
2024-03-25 Kl. 11-12;0.89599;0.89599;0.92460;0.73968;0.89599
2024-03-25 Kl. 12-13;0.87595;0.87595;0.89831;0.71865;0.87595
2024-03-25 Kl. 13-14;0.88974;0.88974;0.91821;0.73457;0.88974
2024-03-25 Kl. 14-15;0.90993;0.90993;0.93709;0.74967;0.90993
2024-03-25 Kl. 15-16;1.03876;1.03876;1.07434;0.85947;1.03876
2024-03-25 Kl. 16-17;1.11778;1.11778;1.17718;0.94174;1.11778
2024-03-25 Kl. 17-18;1.48088;1.48088;1.62495;0.99890;1.48088
2024-03-25 Kl. 18-19;2.32559;2.32559;2.50031;0.99937;2.32559
2024-03-25 Kl. 19-20;2.07055;2.07055;2.17498;1.04375;2.07055
2024-03-25 Kl. 20-21;1.44586;1.44586;1.45633;1.04596;1.44586
2024-03-25 Kl. 21-22;1.00173;1.00173;1.19664;0.95731;1.00173
2024-03-25 Kl. 22-23;1.05634;1.05634;1.15554;0.92443;1.05634
2024-03-25 Kl. 23-00;1.00144;1.00144;1.08553;0.86842;1.00144
2024-03-26 Kl. 00-01;1.02523;1.02523;1.04685;0.59906;1.02523
2024-03-26 Kl. 01-02;0.92976;0.92976;1.01783;0.61148;0.92976
2024-03-26 Kl. 02-03;0.92511;0.92511;0.97590;0.59883;0.92511
2024-03-26 Kl. 03-04;0.92700;0.92700;0.96270;0.58037;0.92700
2024-03-26 Kl. 04-05;0.89944;0.89944;0.99229;0.56807;0.89944
2024-03-26 Kl. 05-06;0.94485;0.94485;1.02784;0.62564;0.94485
2024-03-26 Kl. 06-07;1.05803;1.05803;1.05803;0.69958;1.05803
2024-03-26 Kl. 07-08;1.14914;1.14914;1.14914;0.77956;1.14914
2024-03-26 Kl. 08-09;1.01261;1.01261;1.04613;0.83690;1.01261
2024-03-26 Kl. 09-10;0.86301;0.86301;0.89610;0.69540;0.86301
2024-03-26 Kl. 10-11;0.79584;0.79584;0.86621;0.63667;0.79584
2024-03-26 Kl. 11-12;0.75768;0.75768;0.86955;0.60614;0.75768
2024-03-26 Kl. 12-13;0.72430;0.72430;0.83400;0.57944;0.73954
2024-03-26 Kl. 13-14;0.69630;0.69630;0.83124;0.55704;0.73534
2024-03-26 Kl. 14-15;0.71909;0.71909;0.83066;0.57527;0.73736
2024-03-26 Kl. 15-16;0.80005;0.80005;0.83110;0.64004;0.80005
2024-03-26 Kl. 16-17;0.85533;0.85533;0.92410;0.73928;0.85533
2024-03-26 Kl. 17-18;0.88550;0.88550;0.96618;0.59918;0.88550
2024-03-26 Kl. 18-19;0.89363;0.89363;0.92033;0.66047;0.89363
2024-03-26 Kl. 19-20;0.86853;0.86853;0.86853;0.69482;0.86853
2024-03-26 Kl. 20-21;0.84676;0.84676;0.84676;0.67741;0.84676
2024-03-26 Kl. 21-22;0.84169;0.84169;0.84169;0.67335;0.84169
2024-03-26 Kl. 22-23;0.82195;0.82195;0.82195;0.65756;0.82195
2024-03-26 Kl. 23-00;0.80048;0.80048;0.80048;0.64038;0.80048
2024-03-27 Kl. 00-01;0.81510;0.81510;0.73459;0.55966;0.81510
2024-03-27 Kl. 01-02;0.80304;0.80304;0.70364;0.55628;0.80304
2024-03-27 Kl. 02-03;0.80580;0.80580;0.67545;0.54036;0.80580
2024-03-27 Kl. 03-04;0.78269;0.78269;0.67515;0.54012;0.78269
2024-03-27 Kl. 04-05;0.76946;0.76946;0.68256;0.54605;0.76946
2024-03-27 Kl. 05-06;0.78676;0.78676;0.69303;0.55442;0.78676
2024-03-27 Kl. 06-07;0.82673;0.82673;0.82673;0.56954;0.82673
2024-03-27 Kl. 07-08;0.85608;0.85608;0.85608;0.57082;0.85608
2024-03-27 Kl. 08-09;0.86785;0.86785;0.89808;0.55966;0.86785
2024-03-27 Kl. 09-10;0.86436;0.86436;0.89211;0.55966;0.86436
2024-03-27 Kl. 10-11;0.86291;0.86291;0.91843;0.57605;0.86291
2024-03-27 Kl. 11-12;0.83021;0.83021;0.90766;0.52548;0.83021
2024-03-27 Kl. 12-13;0.82149;0.82149;0.91900;0.52303;0.82149
2024-03-27 Kl. 13-14;0.83791;0.83791;0.91871;0.53652;0.83791
2024-03-27 Kl. 14-15;0.86408;0.86408;0.89619;0.55512;0.86408
2024-03-27 Kl. 15-16;0.87119;0.87119;0.88573;0.55675;0.87119
2024-03-27 Kl. 16-17;0.87904;0.87904;0.88558;0.55210;0.87904
2024-03-27 Kl. 17-18;0.88514;0.88514;0.88514;0.56396;0.88514
2024-03-27 Kl. 18-19;0.87963;0.87963;0.87963;0.55756;0.87963
2024-03-27 Kl. 19-20;0.87686;0.87686;0.87686;0.54524;0.87686
2024-03-27 Kl. 20-21;0.87279;0.87279;0.85783;0.52071;0.87279
2024-03-27 Kl. 21-22;0.87003;0.87003;0.82236;0.50711;0.87003
2024-03-27 Kl. 22-23;0.86509;0.86509;0.70116;0.49990;0.86509
2024-03-27 Kl. 23-00;0.85899;0.85899;0.75261;0.48897;0.85899
2024-03-28 Kl. 00-01;0.86030;0.86030;0.57743;0.41617;0.86030
2024-03-28 Kl. 01-02;0.84629;0.84629;0.59421;0.43940;0.84629
2024-03-28 Kl. 02-03;0.84161;0.84161;0.68894;0.41523;0.84161
2024-03-28 Kl. 03-04;0.82410;0.82410;0.82410;0.41033;0.82410
2024-03-28 Kl. 04-05;0.81359;0.81359;0.81359;0.44583;0.81359
2024-03-28 Kl. 05-06;0.82410;0.82410;0.82410;0.47514;0.82410
2024-03-28 Kl. 06-07;0.84161;0.84161;0.84161;0.50935;0.84161
2024-03-28 Kl. 07-08;0.86118;0.86118;0.86118;0.56003;0.86118
2024-03-28 Kl. 08-09;0.84264;0.84264;0.84264;0.62437;0.84264
2024-03-28 Kl. 09-10;0.82148;0.82148;0.82148;0.64842;0.82148
2024-03-28 Kl. 10-11;0.78864;0.78864;0.78864;0.53901;0.78864
2024-03-28 Kl. 11-12;0.72850;0.72850;0.75638;0.44267;0.75638
2024-03-28 Kl. 12-13;0.67128;0.67128;0.74076;0.38429;0.74076
2024-03-28 Kl. 13-14;0.65114;0.65114;0.72485;0.35370;0.72485
2024-03-28 Kl. 14-15;0.59786;0.59786;0.72149;0.34412;0.72149
2024-03-28 Kl. 15-16;0.61990;0.61990;0.54153;0.32812;0.71506
2024-03-28 Kl. 16-17;0.67814;0.67814;0.52883;0.40858;0.71493
2024-03-28 Kl. 17-18;0.76571;0.76571;0.64705;0.51764;0.76571
2024-03-28 Kl. 18-19;0.80469;0.80469;0.63771;0.51017;0.80469
2024-03-28 Kl. 19-20;0.83081;0.83081;0.62063;0.49650;0.83081
2024-03-28 Kl. 20-21;0.80046;0.80046;0.56809;0.45447;0.80046
2024-03-28 Kl. 21-22;0.75200;0.75200;0.52693;0.42154;0.75200
2024-03-28 Kl. 22-23;0.65683;0.65683;0.45424;0.36339;0.71493
2024-03-28 Kl. 23-00;0.51759;0.51759;0.35148;0.28118;0.71493
2024-03-29 Kl. 00-01;0.44035;0.44035;0.34209;0.27367;0.72925
2024-03-29 Kl. 01-02;0.28583;0.28583;0.33680;0.26944;0.72925
2024-03-29 Kl. 02-03;0.24955;0.24955;0.33283;0.26626;0.72925
2024-03-29 Kl. 03-04;0.24955;0.24955;0.33004;0.26403;0.72940
